Site,Nest,Tree,DBH,Stage,Ht
CoastS,TopCavity,DouglasFir,132,2.0,49
CoastS,TopCavity,DouglasFir,116,2.0,50
CoastS,TopCavity,DouglasFir,140,2.0,51
CoastS,TopCavity,DouglasFir,144,2.0,51
CoastS,TopCavity,DouglasFir,132,2.0,52
CoastS,TopCavity,DouglasFir,163,2.0,52
CoastS,TopCavity,DouglasFir,152,2.0,52
CoastS,TopCavity,DouglasFir,150,2.0,54
CoastS,TopCavity,DouglasFir,151,2.0,58
CoastS,TopCavity,DouglasFir,162,2.0,58
CoastS,TopCavity,DouglasFir,178,2.0,60
CoastS,TopCavity,DouglasFir,177,2.0,71
CoastS,TopCavity,DouglasFir,132,3.0,14
CoastS,TopCavity,DouglasFir,113,3.0,17
CoastS,TopCavity,DouglasFir,160,3.0,17
CoastS,TopCavity,DouglasFir,127,3.0,18
CoastS,TopCavity,DouglasFir,109,3.0,20
CoastS,TopCavity,DouglasFir,132,4.0,7
CoastS,TopCavity,DouglasFir,93,4.0,18
CoastS,TopCavity,DouglasFir,130,4.0,21
CoastS,TopCavity,DouglasFir,137,4.0,24
CoastS,TopCavity,DouglasFir,99,6.0,15
CoastS,TopCavity,DouglasFir,122,6.0,22
CoastS,TopCavity,DouglasFir,114,7.0,14
CoastS,TopCavity,DouglasFir,122,2.0,36
CoastS,TopCavity,DouglasFir,107,2.0,35
CoastS,TopCavity,DouglasFir,109,2.0,35
CoastS,TopCavity,DouglasFir,112,2.0,35
CoastS,TopCavity,DouglasFir,117,2.0,35
CoastS,TopCavity,DouglasFir,117,2.0,35
CoastS,TopCavity,DouglasFir,132,2.0,35
CoastS,TopCavity,DouglasFir,137,2.0,35
CoastS,TopCavity,DouglasFir,141,2.0,35
CoastS,TopCavity,DouglasFir,159,2.0,35
CoastS,TopCavity,DouglasFir,168,2.0,35
CoastS,TopCavity,DouglasFir,175,2.0,35
CoastS,TopCavity,DouglasFir,95,2.0,36
CoastS,TopCavity,DouglasFir,155,2.0,37
CoastS,TopCavity,DouglasFir,109,2.0,36
CoastS,TopCavity,DouglasFir,152,2.0,34
CoastS,TopCavity,DouglasFir,137,2.0,36
CoastS,TopCavity,DouglasFir,138,2.0,36
CoastS,TopCavity,DouglasFir,145,2.0,36
CoastS,TopCavity,DouglasFir,145,2.0,36
CoastS,TopCavity,DouglasFir,152,2.0,36
CoastS,TopCavity,DouglasFir,159,6.0,36
CoastS,TopCavity,DouglasFir,165,2.0,36
CoastS,TopCavity,DouglasFir,89,2.0,37
CoastS,TopCavity,DouglasFir,91,2.0,37
CoastS,TopCavity,DouglasFir,94,2.0,37
CoastS,TopCavity,DouglasFir,101,2.0,37
CoastS,TopCavity,DouglasFir,113,2.0,37
CoastS,TopCavity,DouglasFir,127,2.0,32
CoastS,TopCavity,DouglasFir,162,2.0,33
CoastS,TopCavity,DouglasFir,127,2.0,42
CoastS,TopCavity,DouglasFir,148,2.0,32
CoastS,TopCavity,DouglasFir,175,2.0,32
CoastS,TopCavity,DouglasFir,71,2.0,33
CoastS,TopCavity,DouglasFir,89,2.0,33
CoastS,TopCavity,DouglasFir,102,2.0,33
CoastS,TopCavity,DouglasFir,109,2.0,33
CoastS,TopCavity,DouglasFir,117,2.0,33
CoastS,TopCavity,DouglasFir,118,2.0,33
CoastS,TopCavity,DouglasFir,132,2.0,33
